"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2022","97.590","96.500","97.770","96.290","859.68K","0.95%"
"12/28/2022","96.670","97.420","97.420","96.520","651.86K","-0.59%"
"12/27/2022","97.240","98.370","98.390","96.760","577.56K","-0.14%"
"12/23/2022","97.380","98.000","98.120","96.920","857.24K","-0.23%"
"12/22/2022","97.600","99.190","99.630","97.400","1.24M","-1.71%"
"12/21/2022","99.300","98.680","99.500","98.160","1.16M","1.54%"
"12/20/2022","97.790","97.890","98.790","97.260","1.42M","-1.11%"
"12/19/2022","98.890","99.170","99.920","98.790","1.47M","-0.56%"
"12/16/2022","99.450","99.450","99.820","97.450","7.31M","0.11%"
"12/15/2022","99.340","102.340","103.380","99.300","3.10M","-4.28%"
"12/14/2022","103.780","103.160","103.980","102.720","1.94M","-0.23%"
"12/13/2022","104.020","102.300","105.960","102.280","2.61M","1.52%"
"12/12/2022","102.460","101.480","102.560","101.460","1.50M","0.12%"
"12/09/2022","102.340","102.780","103.120","101.440","1.51M","-0.04%"
"12/08/2022","102.380","102.880","103.060","101.320","1.35M","-0.06%"
"12/07/2022","102.440","102.680","103.400","101.640","2.17M","-0.77%"
"12/06/2022","103.240","104.740","105.220","102.840","1.85M","-1.90%"
"12/05/2022","105.240","105.780","105.960","104.580","1.07M","-1.15%"
"12/02/2022","106.460","106.140","107.420","105.080","1.64M","0.13%"
"12/01/2022","106.320","106.280","106.700","105.200","1.59M","1.78%"
"11/30/2022","104.460","103.580","104.660","103.500","2.81M","1.34%"
"11/29/2022","103.080","105.340","105.340","102.920","1.79M","-1.73%"
"11/28/2022","104.900","105.520","106.060","104.560","1.61M","-1.06%"
"11/25/2022","106.020","105.600","106.240","105.500","1.40M","0.53%"
"11/24/2022","105.460","105.940","106.540","105.080","970.77K","-0.13%"
"11/23/2022","105.600","106.080","106.100","105.420","1.81M","-0.02%"
"11/22/2022","105.620","105.500","106.060","105.240","1.43M","-0.58%"
"11/21/2022","106.240","105.520","107.280","104.900","","1.03%"
"11/18/2022","105.160","105.100","106.520","104.540","3.73M","-2.34%"
"11/17/2022","107.680","106.960","108.120","106.680","1.86M","0.79%"
"11/16/2022","106.840","106.460","106.980","105.480","2.12M","-0.06%"
"11/15/2022","106.900","105.720","106.900","104.360","2.34M","1.12%"
"11/14/2022","105.720","106.500","106.680","105.260","2.09M","-0.25%"
"11/11/2022","105.980","105.000","106.560","104.120","3.53M","0.91%"
"11/10/2022","105.020","97.600","105.300","97.600","5.24M","6.99%"
"11/09/2022","98.160","97.030","98.170","96.920","1.44M","-0.23%"
"11/08/2022","98.390","97.060","98.550","96.680","1.39M","1.57%"
"11/07/2022","96.870","95.640","97.850","95.610","1.68M","0.65%"
"11/04/2022","96.240","95.100","97.120","94.900","2.28M","0.76%"
"11/03/2022","95.510","95.920","96.340","95.080","1.42M","-1.38%"
"11/02/2022","96.850","97.100","97.980","96.650","1.63M","-0.06%"
"11/01/2022","96.910","97.900","98.490","96.430","1.43M","-0.78%"
"10/31/2022","97.670","97.670","97.980","96.670","1.49M","-0.07%"
"10/28/2022","97.740","96.830","98.010","96.280","2.30M","-0.22%"
"10/27/2022","97.960","96.970","98.550","96.930","2.10M","-0.22%"
"10/26/2022","98.180","95.910","98.480","95.840","2.69M","0.96%"
"10/25/2022","97.250","94.000","97.840","93.660","4.12M","6.47%"
"10/24/2022","91.340","91.520","92.470","90.510","2.26M","-0.07%"
"10/21/2022","91.400","90.200","91.400","89.370","3.40M","1.75%"
"10/20/2022","89.830","88.400","89.970","88.240","1.50M","0.75%"
"10/19/2022","89.160","89.960","90.310","89.140","1.21M","-1.11%"
"10/18/2022","90.160","90.000","91.580","89.540","1.90M","1.59%"
"10/17/2022","88.750","87.380","89.070","86.970","1.61M","0.96%"
"10/14/2022","87.910","87.000","89.810","86.870","2.47M","2.16%"
"10/13/2022","86.050","85.500","86.240","83.250","2.32M","0.88%"
"10/12/2022","85.300","85.990","86.660","85.300","1.71M","-0.86%"
"10/11/2022","86.040","85.680","86.810","85.310","1.87M","-0.32%"
"10/10/2022","86.320","85.850","87.300","85.530","1.75M","-0.47%"
"10/07/2022","86.730","87.630","88.600","86.730","2.10M","-1.56%"
"10/06/2022","88.100","88.130","88.680","87.450","1.56M","0.99%"
